code,name,market,industry_em,营收_2026Q1,归母净利润_2026Q1,扣非归母_2026Q1,毛利率_2026Q1,营收_2025A,归母净利润_2025A,扣非归母_2025A,毛利率_2025A,营收_2024A,归母净利润_2024A,扣非归母_2024A,毛利率_2024A
300266,兴源环境,SZ,环境治理,1.73,-3185.97,-3227.43,8.49%,9.07,-2.27,-2.53,13.48%,10.51,-3.02,-3.57,15.17%
2374,中锐股份,SZ,包装印刷,1.34,-1.21,-1.23,10.89%,5.57,-2.55,-2.6,13.47%,6.36,-2.57,-2.63,15.58%
301565,中仑新材,SZ,塑料,5.84,3179.04,3179.04,12.69%,21.26,7823.31,7823.31,13.47%,24.73,1.13,1.13,11.73%
301667,纳百川,SZ,汽车零部件,4.28,724.77,724.77,8.74%,17.8,9664.97,9664.97,13.47%,14.37,9542.88,9542.88,17.36%
886,海南高速,SZ,铁路公路,1.45,-2349.4,-2203.94,13.40%,6.57,1.55,1.57,13.44%,2.33,6150.32,6144.65,16.33%
2361,神剑股份,SZ,塑料,4.91,-526.79,-662.64,8.26%,24.19,1329.82,-747.44,13.44%,24.18,3365.07,2003.2,14.42%
2969,嘉美包装,SZ,包装印刷,8.57,6693.96,6693.96,17.07%,28.15,8660.02,8660.02,13.44%,32,1.83,1.83,15.94%
600202,哈空调,SH,通用设备,1.62,-3054.12,-2990.53,6.61%,15.23,730.71,-80.81,13.44%,14.07,735.55,-224.18,13.22%
300982,苏文电能,SZ,基础建设,2.03,-846.79,-852.43,15.73%,12.78,-3170.65,-3209.07,13.41%,19.33,6518.5,6551.76,14.90%
2163,海南发展,SZ,装修装饰Ⅱ,6.9,-393.62,206.89,16.27%,35,-4.72,-9827.11,13.40%,39.12,-3.79,-9297.68,8.11%
2593,日上集团,SZ,专业工程,7.52,3224.37,3200.79,14.75%,36.63,1.1,1.09,13.40%,30.69,5197.77,5090.46,9.68%
600135,乐凯胶片,SH,塑料,3.19,-2372.26,-2297.33,13.98%,13.2,-9872.82,-8813.59,13.40%,14.85,-6226.14,-6108.37,14.17%
300598,诚迈科技,SZ,软件开发,4.86,-3412.9,-3713.26,10.66%,22.21,-1.04,-1.16,13.39%,19.76,-1.26,-1.36,15.23%
300975,商络电子,SZ,元件,37.93,2.57,2.64,16.49%,85.48,3.03,3.02,13.38%,65.46,7079.88,6502.44,11.78%
301036,双乐股份,SZ,化学制品,3.93,-536.24,-536.24,9.71%,14.77,4957.99,4957.99,13.36%,15.75,1.21,1.21,16.95%
600391,航发科技,SH,航空装备Ⅱ,7.21,-1134.77,1241.55,15.81%,43.23,6087.7,1.4,13.35%,38.5,6879.22,1.36,16.09%
603577,汇金通,SH,电网设备,8.01,1360.19,1424.23,12.45%,41.82,1.03,1.08,13.35%,46.19,1.55,1.62,14.09%
603701,德宏股份,SH,汽车零部件,2.87,835.2,1020.94,14.97%,9.22,1153.69,2506.89,13.35%,7.07,4613.11,5661.1,13.79%
600655,豫园股份,SH,一般零售,96.49,1.57,1.89,17.98%,363.73,-48.97,-54.3,13.34%,469.24,1.25,-4.29,13.60%
601026,道生天合,SH,风电设备,6.76,3091.46,2905.36,13.58%,34.96,2.03,1.99,13.34%,32.38,1.55,1.55,11.61%
300078,思创智联,SZ,IT服务Ⅱ,9105.4,-908.81,-1089.27,22.30%,6.84,-6722.77,-1.1,13.33%,6.91,-5.02,-1.77,12.14%
600143,金发科技,SH,塑料,155.9,3.05,2.14,13.26%,653.96,11.5,8.11,13.33%,605.14,8.25,2.39,11.31%
600846,同济科技,SH,工程咨询服务Ⅱ,10.19,5740.51,6061.94,15.12%,44.42,2.72,2.88,13.33%,41.73,4.06,4.12,10.63%
603938,三孚股份,SH,化学原料,6.47,3885.1,3880.13,16.30%,20.97,8029.9,7999.76,13.33%,17.7,6377.89,6114.1,14.11%
2352,顺丰控股,SZ,物流,741.42,25.26,26.51,13.74%,3082.27,111.17,116.85,13.32%,2844.2,101.7,102.19,13.93%
603633,徕木股份,SH,消费电子,3.32,-3581.59,-3581.59,6.82%,15.2,-1.49,-1.49,13.31%,14.66,7349.56,7349.56,22.32%
2084,海鸥住工,SZ,家居用品,5.58,-2250.94,-2583.05,11.76%,26.21,-1.18,-1.25,13.30%,28.54,-1.24,-1.37,14.06%
600495,晋西车轴,SH,轨交设备Ⅱ,2.62,44.62,44.62,6.92%,12.98,2875.05,2875.05,13.30%,13.14,2307.58,2307.58,11.86%
810,创维数字,SZ,黑色家电,24.94,8288.34,7755.21,14.95%,88.09,1.8,1.71,13.29%,86.93,2.51,2.35,14.56%
605488,福莱新材,SH,塑料,8.19,1883.55,1936.08,12.60%,28.56,7728.04,7833.04,13.29%,25.41,1.39,1.22,13.38%
601106,中国一重,SH,专用设备,24.14,194.17,1641.61,13.00%,98.17,-3.11,-1.19,13.28%,166.17,-37.36,-38.44,2.15%
300848,美瑞新材,SZ,化学制品,5.73,2720.43,2373.93,12.23%,17.47,8192.72,6877.85,13.27%,16.58,7758.85,7053.39,12.91%
2185,华天科技,SZ,半导体,48,8678.64,7529.99,11.32%,172.14,7.11,8.06,13.26%,144.62,6.16,6.59,12.07%
2286,保龄宝,SZ,农产品加工,7.48,5413.34,5413.34,15.46%,27.51,1.51,1.51,13.26%,24.02,1.11,1.11,11.88%
605377,华旺科技,SH,造纸,7.26,6507.11,6507.11,17.76%,32.02,2.71,2.71,13.25%,37.68,4.69,4.69,15.76%
601952,苏垦农发,SH,种植业,20.9,4912.61,5468.09,11.39%,100.71,5.48,5.61,13.24%,109.17,7.3,7.54,14.47%
688528,秦川物联,SH,通用设备,6200.23,-2353.98,-2361.11,13.69%,2.7,-1.16,-1.16,13.23%,3.21,-6523.65,-6481.77,22.69%
2244,滨江集团,SZ,房地产开发,124.9,8.11,10.19,11.05%,828.88,21.16,36.4,13.22%,691.52,25.46,37.91,12.54%
301191,菲菱科思,SZ,通信设备,4.79,1917.56,1917.56,9.46%,17.74,6492.93,6486.34,13.22%,16.79,1.17,1.17,16.96%
688159,有方科技,SH,通信设备,5.49,2780.6,2745.85,20.12%,24.05,2734.13,2560.91,13.22%,30.69,1,9575.95,10.88%
301008,宏昌科技,SZ,家电零部件Ⅱ,2.56,143.62,99.47,11.46%,11.47,3283.64,3261.62,13.20%,10.27,5246.57,5174.38,16.35%
301439,泓淋电力,SZ,电网设备,10.88,5517.72,5470.83,13.59%,39.68,2.01,2.09,13.20%,33.98,1.97,1.99,12.29%
2064,华峰化学,SZ,化学纤维,67.67,6.69,6.69,18.46%,241.98,18.58,18.71,13.19%,269.31,22.2,22.27,13.83%
2806,华锋股份,SZ,汽车零部件,2.49,-1588.96,-1655.35,7.69%,11.87,-3002.58,-3226.8,13.19%,10.31,8548.29,8387.83,16.92%
301193,家联科技,SZ,家居用品,7.53,-9860.7,-1.05,11.55%,26.87,-7570.7,-1.13,13.19%,23.26,5700.05,4545.12,17.62%
600099,林海股份,SH,摩托车及其他,3.26,416.19,416.19,13.65%,11.31,2455.27,2455.27,13.18%,10.51,1842.79,1842.79,11.83%
757,浩物股份,SZ,汽车服务,5.08,827.64,827.64,15.87%,27.93,4774.67,4774.67,13.16%,35.95,-2000.57,-2001.68,10.86%
100,TCL科技,SZ,光学光电子,434.54,15.56,6.08,12.50%,1840.63,45.17,2.14,13.15%,1648.23,15.64,-41.56,11.59%
300276,三丰智能,SZ,自动化设备,2.19,-1231.37,-1122.57,11.45%,17.69,-1.86,-1.8,13.15%,19.38,2921.46,3404.89,14.66%
600595,中孚实业,SH,工业金属,66.4,8.21,7.72,20.48%,230.68,16.17,13.77,13.15%,227.61,7.04,7.48,9.70%
600346,恒力石化,SH,炼化及贸易,491.91,39.1,39.09,13.98%,2009.86,70.75,70.74,13.14%,2362.73,70.44,70.53,9.86%
603182,嘉华股份,SH,农产品加工,4.17,2731.17,2731.17,11.74%,13.86,9470.06,9470.06,13.12%,14.88,1.09,1.09,12.46%
603221,爱丽家居,SH,家居用品,2.82,-1482.77,-1690.52,8.99%,11.27,1717.77,264.97,13.12%,13.09,1.38,1.28,23.52%
